Driver_ID,Fname,Lname,DOB,Nationality,Team
44,Lewis,Hamilton,07-01-1985,British,Mercedes
33,Max,Verstappen,30-09-1997,Dutch,Red Bull Racing
77,Valtteri,Bottas,28-08-1989,Finnish,Mercedes
11,Sergio,Perez,26-01-1990,Mexican,Red Bull Racing
4,Lando,Norris,13-11-1999,British,McLaren
3,Daniel,Ricciardo,01-07-1989,Australian,McLaren
16,Charles,Leclerc,16-10-1997,Monegasque,Ferrari
55,Carlos,Sainz,01-09-1994,Spanish,Ferrari
5,Sebastian,Vettel,03-07-1987,German,Aston Martin
18,Lance,Stroll,29-10-1998,Canadian,Aston Martin
31,Esteban,Ocon,17-09-1996,French,Alpine
14,Fernando,Alonso,29-07-1981,Spanish,Alpine
10,Pierre,Gasly,07-02-1996,French,AlphaTauri
22,Yuki,Tsunoda,11-05-2000,Japanese,AlphaTauri
7,Kimi,Räikkönen,17-10-1979,Finnish,Alfa Romeo
99,Antonio,Giovinazzi,14-12-1993,Italian,Alfa Romeo
47,Mick,Schumacher,22-03-1999,German,Haas
9,Nikita,Mazepin,02-03-1999,Russian,Haas
63,George,Russell,15-02-1998,British,Williams
6,Nicholas,Latifi,29-06-1995,Canadian,Williams
